WOS relevance rank,Authors,Article Title,Source Title,Publication Year,Volume,Issue,DOI,Relevant? Y/N,micrlocfull,micrtax,otherPhenMicrLink,MicrobesAffectPhenology,manipulationtype,inoctype,phentrait,phentrait_of,anyeffect,SelectionOnPlantMeasured,FitnessComponent,RawDataAvailable,Notes
142,"Escalante-Espinosa, E; Gallegos-Martinez, ME; Favela-Torres, E; Gutierrez-Rojas, M",Improvement of the hydrocarbon phytoremediation rate by Cyperus laxus Lam. inoculated with a microbial consortium in a model system,CHEMOSPHERE,2005,59,3,10.1016/j.chemosphere.2004.10.034,y,root,mixed,n,y,culture,strain mix,flowering time,flowering time,y,n,infloresence number; but trait & possible fitness measure not preserved at an individual level,,
146,"Chialva, M; Zouari, I; Salvioli, A; Novero, M; Vrebalov, J; Giovannoni, JJ; Bonfante, P",Gr and hp-1 tomato mutants unveil unprecedented interactions between arbuscular mycorrhizal symbiosis and fruit ripening,PLANTA,2016,244,1,10.1007/s00425-016-2491-9,y,root,MF,n,y,culture,strain,flowering time,flowering time,y,n,"number of flowers, number of fruits ",n,
215,"Davis, JK; Aguirre, LA; Barber, NA; Stevenson, PC; Adler, LS",From plant fungi to bee parasites: mycorrhizae and soil nutrients shape floral chemistry and bee pathogens,ECOLOGY,2019,100,10,10.1002/ecy.2801,y,root,MF,n,y,culture,strain,flowering time,flowering time,y,almost,"nectar and pollen quality, ",n,
322,"Vaingankar, JD; Rodrigues, BF",Screening for efficient AM (arbuscular mycorrhizal) fungal bioinoculants for two commercially important ornamental flowering plant species of Asteraceae,BIOLOGICAL AGRICULTURE & HORTICULTURE,2012,28,3,10.1080/01448765.2012.727541,y,root,MF,n,y,culture,strain,flowering time,flowering time,y,almost,number of flowers produced,n,
346,"Horn, F; Habekuss, A; Stich, B",Natural variation for BYDV resistance in maize,MAYDICA,2013,58,1-4,,y,shoot; root; reproductive; seed,virus,n,y,culture,strain,flowering time,flowering time,y,almost,yield,n,
352,"SHUMWAY, DL; KOIDE, RT",REPRODUCTIVE RESPONSES TO MYCORRHIZAL COLONIZATION OF ABUTILON-THEOPHRASTI MEDIC PLANTS GROWN FOR 2 GENERATIONS IN THE FIELD,NEW PHYTOLOGIST,1994,128,2,10.1111/j.1469-8137.1994.tb04005.x,y,root,MF,y,y,culture,strain,flowering time,flowering time,y,almost,number of seed capsules; seed weight,n,
379,"Spence, NJ; Mead, A; Miller, A; Shaw, ED; Walkey, DGA",The effect on yield in courgette and marrow of the mild strain of zucchini yellow mosaic virus used for cross-protection,ANNALS OF APPLIED BIOLOGY,1996,129,2,10.1111/j.1744-7348.1996.tb05749.x,y,shoot,virus,n,y,direct,strain,flowering time,flowering time,y,n,yield,n,
385,"Cheplick, GP",Host genotype overrides fungal endophyte infection in influencing tiller and spike production of Lolium perenne (Poaceae) in a common garden experiment,AMERICAN JOURNAL OF BOTANY,2008,95,9,10.3732/ajb.0800042,y,root; shoot; reproductive; seed,fungi,n,y,removed,strain,flowering time,flowering time,n,n,biomass,n,
413,"Cettul, E; Firrao, G",Development of phytoplasma-induced flower symptoms in Arabidopsis Thaliana,PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY,2011,76,3-4,10.1016/j.pmpp.2011.09.001,y,root; shoot; reproductive,bacteria,y,y,culture,strain,flowering time,flowering time,y,n,,,
425,"Garrido, E; Bennett, AE; Fornoni, J; Strauss, SY",Variation in arbuscular mycorrhizal fungi colonization modifies the expression of tolerance to above-ground defoliation,JOURNAL OF ECOLOGY,2010,98,1,10.1111/j.1365-2745.2009.01586.x,y,root,MF,n,y,culture,strain mix,flowering time,flowering time,y,y,foliar area; root mass; seed production,n,
452,"Lau, JA; Lennon, JT",Rapid responses of soil microorganisms improve plant fitness in novel environments,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2012,109,35,10.1073/pnas.1202319109,y,root,mixed,n,y,direct,community,flowering time,flowering time,y,y,number of flowers and fruits,n,
457,"Philip, LJ; Posluszny, U; Klironomos, JN",The influence of mycorrhizal colonization on the vegetative growth and sexual reproductive potential of Lythrum salicaria L.,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,2001,79,4,10.1139/b01-010,y,root,MF,n,y,culture,strain,flowering time,flowering time,n,almost,"flower production, # of flowers, plant biomass",n,
479,"Steventon, LA; Okori, P; Dixelius, C",An investigation of the susceptibility of Arabidopsis thaliana to isolates of two species of Verticillium,JOURNAL OF PHYTOPATHOLOGY-PHYTOPATHOLOGISCHE ZEITSCHRIFT,2001,149,7-8,10.1046/j.1439-0434.2001.00643.x,y,root; shoot,fungi,n,y,culture,strain,flowering time,flowering time,y,n,height and mortality,n,
21,"Berdeni, D; Cotton, TEA; Daniell, TJ; Bidartondo, MI; Cameron, DD; Evans, KL","The Effects of Arbuscular Mycorrhizal Fungal Colonisation on Nutrient Status, Growth, Productivity, and Canker Resistance of Apple (Malus pumila)",FRONTIERS IN MICROBIOLOGY,2018,9,,10.3389/fmicb.2018.01461,y,root,MF,n,y,culture,strain mix,flowering time; budburst,flowering time; budburst,n,n,"disease, biomass, flower and fruit number. ",n,
28,"Scagel, CF",Soil pasteurization and mycorrhizal inoculation alter flower production and corm composition of Brodiaea laxa Queen Fabiola,HORTSCIENCE,2004,39,6,10.21273/HORTSCI.39.6.1432,y,root,MF; mixed,n,y,culture; direct,strain; community,flowering time; budburst; floral budset time; flowering duration,flowering time; budburst; other flowering event,y,n,"number corms + dry weight corms, number of flowers",n,
187,"Zavala-Gonzalez, EA; Rodriguez-Cazorla, E; Escudero, N; Aranda-Martinez, A; Martinez-Laborda, A; Ramirez-Lepe, M; Vera, A; Lopez-Llorca, LV",Arabidopsis thaliana root colonization by the nematophagous fungus Pochonia chlamydosporia is modulated by jasmonate signaling and leads to accelerated flowering and improved yield,NEW PHYTOLOGIST,2017,213,1,10.1111/nph.14106,y,root,fungi,y,y,culture,strain,flowering time; floral budset time,flowering time; other flowering event,y,n,,,
39,"Liu, SJ; Guo, HL; Xu, J; Song, ZY; Song, SR; Tang, JJ; Chen, X",Arbuscular mycorrhizal fungi differ in affecting the flowering of a host plant under two soil phosphorus conditions,JOURNAL OF PLANT ECOLOGY,2018,11,4,10.1093/jpe/rtx038,y,root,MF,n,y,culture,strain; strain mix,flowering time; fruiting time,flowering time; fruiting time,y,almost,"flower number, fruit biomass, total biomass; no analysis",n,
125,"Fan, YQ; Luan, YS; An, LJ; Yu, K","Arbuscular mycorrhizae formed by Penicillium pinophilum improve the growth, nutrient uptake and photosynthesis of strawberry with two inoculum-types",BIOTECHNOLOGY LETTERS,2008,30,8,10.1007/s10529-008-9691-8,y,root,fungi,n,y,culture,strain,flowering time; fruiting time,flowering time; fruiting time,y,n,biomass; but one genotype,n,says AMF but Penicillium is not supposed to be AMF
225,"Singh, U; Saad, AA; Singh, SR; Kamaluddin, S",Influence of genotypes and inoculation method on productivity of lentil (Lens culinaris) under dryland temperate conditions of Kashmir valley,INDIAN JOURNAL OF AGRICULTURAL SCIENCES,2008,78,8,,y,root,bacteria,n,y,culture,strain; strain mix,flowering time; fruiting time,flowering time; fruiting time,y,almost,"growth, yield, nodulation, N + P uptake",n,
266,"Babalola, OO; Sanni, AI; Odhiambo, GD; Torto, B",Plant growth-promoting rhizobacteria do not pose any deleterious effect on cowpea and detectable amounts of ethylene are produced,WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,2007,23,6,10.1007/s11274-006-9290-6,y,root,bacteria,n,y,direct,strain,flowering time; germination time,flowering time; germination time,n,almost,fruit number; fruit mass,n,
330,"Baskaran, V; Misra, RL; Singh, SK; Abirami, K","Response of bio-fertilizers and commercial formulations on growth, yield and corm production of gladiolus",INDIAN JOURNAL OF HORTICULTURE,2014,71,2,,y,root,bacteria,n,y,culture,strain; strain mix,flowering time; germination time,flowering time; germination time,y,n,biomass,,full-text inacessible
394,"O'Brien, AM; Sawers, RJH; Strauss, SY; Ross-Ibarra, J",Adaptive phenotypic divergence in an annual grass differs across biotic contexts,EVOLUTION,2019,73,11,10.1111/evo.13818,y,root,mixed,n,y,direct,community,flowering time; germination time,flowering time; germination time,y,y,biomass,y,
396,"Shykoff, JA; Kaltz, O",Effects of the anther smut fungus Microbotryum violaceum on host life-history patterns in Silene latifolia (Caryophyllaceae),INTERNATIONAL JOURNAL OF PLANT SCIENCES,1997,158,2,10.1086/297427,y,reproductive; shoot,fungi,n,y,culture,strain,flowering time; maturation time,flowering time; maturation time,y,almost,number of flowers -- but diseased plants are sterile,n,
4,"Jin, ZX; Li, J,M; Li, YL",Interactive Effects of Arbuscular Mycorrhizal Fungi and Copper Stress on Flowering Phenology and Reproduction of Elsholtzia splendens,PLOS ONE,2015,10,12,10.1371/journal.pone.0145793,y,root,mixed,n,y,direct,community,flowering time; peak flowering; flowering duration,flowering time; other flowering event,y,almost,number of seeds; no analysis,n,Says AMF but is soil slurry
109,"Poupin, MJ; Timmermann, T; Vega, A; Zuniga, A; Gonzalez, B",Effects of the Plant Growth-Promoting Bacterium Burkholderia phytofirmans PsJN throughout the Life Cycle of Arabidopsis thaliana,PLOS ONE,2013,8,7,10.1371/journal.pone.0069435,y,root; shoot,bacteria,y,y,culture,strain,flowering time; senescence time,flowering time; senescence time,y,n,"growth rate, leaf area, seed ",,
